id,address,bedroom_nums,bathroom_nums,car_spaces,price,lat,lon,postcode,land_size_m2,price_per_m2,nearest_city,distance_to_nearest_city,avg_price_by_postcode,postcode_avg_price_per_m2
1,"10 High Street, North Lambton",3.0,2,2.0,895000.0,-32.9087419,151.7079182,2299.0,253.0,3537.5494071146245,Newcastle,53.609092868495686,937777.7777777778,2285.643509819789
2,"44A Kenrick Street, The Junction",4.0,2,1.0,2660000.0,-32.9371956,151.7583949,2291.0,244.0,10901.639344262296,Newcastle,5.306167453692958,2131523.8095238097,4892.909195742794
3,"26 Earl Street, Hunters Hill",3.0,3,2.0,2650000.0,-33.8237597,151.1347923,2110.0,313.1,8463.749600766527,Sydney,75.80025983384282,7194733.333333333,7640.033631458491
4,"186 Lorraine Street, Peakhurst Heights",5.0,3,5.0,2620000.0,-33.9717599,151.0583104,2210.0,380.0,6894.736842105263,Sydney,333.9860031617117,1798245.0,3182.6635975533145
5,"51 Katoomba Street, The Ponds",4.0,2,1.0,1357500.0,-33.7111594,150.8980793,2769.0,250.0,5430.0,Sydney,1217.0888287685448,1524396.551724138,4365.160235409959
6,"15 Binnet Street, Pemulwuy",4.0,2,1.0,1335000.0,-33.8249852,150.9269347,2145.0,275.0,4854.545454545455,Sydney,816.4989934313521,1601441.282352941,3182.6549325274864
7,"30 Zeta Street, Box Hill",4.0,3,2.0,1315000.0,-33.6588316,150.91127,2765.0,335.0,3925.373134328358,Sydney,1329.086098985672,1270745.238095238,3851.3150622660773
8,"1/70 White Cross Road, Winmalee",4.0,2,2.0,1180000.0,-33.6709811,150.609392,2777.0,395.0,2987.3417721518986,Sydney,3990.2192566120966,1149436.5697674418,1104.3483646158354
9,"46 Steward Drive, Oran Park",4.0,2,2.0,1095000.0,-33.9983719,150.7286833,2570.0,375.0,2920.0,Wollongong,2114.4134430849745,1233320.2614379085,2452.919945362968
10,"9 Kingsman Avenue, Elderslie",4.0,2,2.0,1085000.0,-34.0560306,150.7280385,2570.0,363.0,2988.9807162534435,Wollongong,1654.5778555861093,1233320.2614379085,2452.919945362968
11,"3 Ewan James Drive, Glenmore Park",3.0,2,2.0,1080000.0,-33.8060306,150.6810924,2745.0,350.0,3085.714285714286,Sydney,2829.4326627412192,1355658.0357142857,2206.450869652171
12,"107 Kavanagh Street, Gregory Hills",5.0,2,1.0,975000.0,-34.0278391,150.7856999,2557.0,255.0,3823.529411764706,Wollongong,1715.0350300881855,1207210.5263157894,3198.2633277250734
13,"112 Healy Avenue, Gregory Hills",3.0,2,1.0,927000.0,-34.0274356,150.7731896,2557.0,285.0,3252.6315789473683,Wollongong,1746.7015681552286,1207210.5263157894,3198.2633277250734
14,"2 Marine Parade, Rocky Point",3.0,1,2.0,860000.0,-33.2942947,151.4709201,2259.0,354.0,2429.3785310734465,Newcastle,2299.7748227209895,1013668.5769230769,1531.9240568829864
